timestamp,model,test_description,image_path,prompt,output,expected_result,check
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Self-employment contractor test,tests/images/self-employment/offers/test-offer-002.HEIC,"Is this an offer of work for someone who is self-employed, like a contractor or freelancer?"," Yes, this is an offer of work for someone who is self-employed, specifically a contractor or freelancer.",['yes'],True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Self-employment contractor test,tests/images/self-employment/offers/test-offer-003.HEIC,"Is this an offer of work for someone who is self-employed, like a contractor or freelancer?"," Yes, this is an offer of work for someone who is self-employed, like a contractor or freelancer.",['yes'],True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Self-employment contractor test,tests/images/self-employment/offers/test-offer-001.HEIC,"Is this an offer of work for someone who is self-employed, like a contractor or freelancer?"," Yes, this is an offer of work for someone who is self-employed, like a contractor or freelancer.",['yes'],True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Self-employment contractor test: type,tests/images/self-employment/offers/test-offer-002.HEIC,What kind of self-employed work is this an offer for?, This is an offer for freelance writing work.,"['freelance', 'contractor']",True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Self-employment contractor test: type,tests/images/self-employment/offers/test-offer-003.HEIC,What kind of self-employed work is this an offer for?, This is an offer for freelance writing and delivering articles as assigned by the editorial team.,"['freelance', 'contractor']",True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Self-employment contractor test: type,tests/images/self-employment/offers/test-offer-001.HEIC,What kind of self-employed work is this an offer for?, This is an offer for freelance work.,"['freelance', 'contractor']",True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,1040 form check,tests/images/1040/schedule-f/001.jpg,Is this a 1040 tax form?," Yes, this is a 1040 tax form.",1040,True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,1040 form schedule check,tests/images/1040/schedule-f/001.jpg,"Is this a form 1040 schedule? If so, what 1040 schedule form is it? Answer in the form ""Schedule"" and then the name of the Schedule, .e.g. ""Schedule F""", Schedule F,schedule F,True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Evidence of disaster,tests/images/disaster/flooding/flood-waters-around-blue-house-standard_8150b0462cc3bcfa6cbffd185f828669-1315407200.jpg,"Does this show evidence of a disaster? A disaster is something like a flood, fire, earthquake, hurricane damage. Answer yes or no.", Yes.,"['yes', 'flood', 'flooding', 'water']",True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Evidence of disaster,tests/images/disaster/flooding/basement-flooding-2073546059.jpg,"Does this show evidence of a disaster? A disaster is something like a flood, fire, earthquake, hurricane damage. Answer yes or no.", Yes.,"['yes', 'flood', 'flooding', 'water']",True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Type of disaster,tests/images/disaster/flooding/flood-waters-around-blue-house-standard_8150b0462cc3bcfa6cbffd185f828669-1315407200.jpg,What kind of disaster is shown here?," The image depicts a flood situation, specifically a flood in a residential area. The water level has risen significantly, submerging the lower parts of several houses and potentially causing damage to their structures. The water is murky and brownish, suggesting that it may contain debris or pollutants.

The houses are primarily blue in color, with some having white accents, and they are situated in a row. The front of the houses is visible, showing their windows and doors. The front doors are either white or blue, and the windows are either white or blue. The houses have a peaked roof, typical of residential buildings in the United States.

In the foreground, there is a mailbox, which is partially submerged in the water. The mailbox is black and has a red flag attached to it. The water level is high enough to cover the mailbox, indicating that the flood has reached a significant depth.

The background of the image shows a few trees, which are green, indicating that it is likely a summer or spring season. The sky is cloudy, with a mix of light and dark clouds, suggesting that the weather might be overcast or rainy.

The image captures the aftermath of a flood, highlighting the devastation it can cause to homes and property","['flood', 'flooding', 'water']",True
2025-08-06T13:11:45,mlx-community/SmolVLM-Instruct-bf16,Type of disaster,tests/images/disaster/flooding/basement-flooding-2073546059.jpg,What kind of disaster is shown here?," The image depicts a flooded basement. The water has caused significant damage to the floor, with large pieces of debris scattered across the wet surface. The water appears to be murky and possibly sewage-contaminated, given the presence of a yellow plastic bottle and other debris. The floor is severely damaged, with large cracks and gaps between the tiles. The walls and ceiling are also affected, with visible holes and water damage.

In the background, there is a kitchen area with a refrigerator, a table, and a ladder. The refrigerator is old and appears to be in poor condition, with visible rust and water damage. The table is covered in debris, and the ladder is leaning against the wall, suggesting that it has been used to access the upper level. The kitchen area is cluttered with various items, including a potted plant, a box, and a few other objects.

The ceiling is partially damaged, with exposed wiring and insulation. The light fixtures are not working, and the overall atmosphere of the basement is one of neglect and disrepair.

### Analysis:

The image is a photograph taken in a basement that has been flooded. The flooding has caused significant damage to the floor, walls, and ceiling, with large pieces of debris scattered across the","['flood', 'flooding', 'water']",True
2025-08-06T13:12:55,mlx-community/llava-interleave-qwen-7b-4bit,Self-employment contractor test,tests/images/self-employment/offers/test-offer-002.HEIC,"Is this an offer of work for someone who is self-employed, like a contractor or freelancer?","Yes, the document is an offer of work for someone who is self-employed, like a contractor or freelancer.",['yes'],True
